ain,PRIMARY_NA,FRS_FACILI,REGISTRY_I,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,count,,X,Y
6006003900,200 EAST SLAUSON AVE.,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110039532235,1.10E+11,200 EAST SLAUSON AVE.,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90003,,,,,35,6.04E+13,18070105,9,BROWNFIELDS SITE,,10/22/2009 16:51:00,9/25/2014 8:39:00,,ACRES,BROWNFIELDS PROPERTY,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,30,,-118.271493,33.98904245
5058009912,24TH STREET EARLY EDUCATION CENTER,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110035442143,1.10E+11,2101 W 24TH ST,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90018,,,,,33,6.04E+13,18070104,9,STATIONARY,,4/22/2008 22:46:00,1/26/2012 13:59:00,,RCRAINFO,LQG,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,31,,-118.3118766,34.03484871
5128016910,28TH STREET EARLY EDUCATION CENTER,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110035442152,1.10E+11,747 E 28TH ST,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90011,,,,,31,6.04E+13,18070104,9,STATIONARY,,4/22/2008 22:46:00,1/26/2012 13:59:00,,RCRAINFO,LQG,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,32,,-118.2607918,34.01923695
5055010041,29 TROJAN AUTO BODY,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065256261,1.10E+11,2908 S VERMONT AVE # B,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90007,,,,,33,6.04E+13,18070104,9,STATIONARY,,10/10/2015 10:18:00,,,CA-ENVIROVIEW,STATE MASTER,,,7538,GENERAL AUTOMOTIVE REPAIR SHOPS,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,33,,-118.29116,34.02806
6035031036,3017 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043843918,1.10E+11,1923 MANCHESTER BLVD W,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90047,,,,,35,6.04E+13,18070104,9,STATIONARY,,9/22/2011 11:23:00,10/5/2011 13:27:00,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,34,,-118.31177,33.96026
5041013905,36TH STREET EARLY EDUCATION CENTER,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110035442161,1.10E+11,3556 S ST ANDREWS PL,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90018,,,,,33,6.04E+13,18070104,9,STATIONARY,,4/22/2008 22:46:00,1/26/2012 13:59:00,,RCRAINFO,LQG,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,35,,-118.31171,34.02345
5040016909,37TH STREET EARLY EDUCATION CENTER,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110035442170,1.10E+11,1204 W 36TH PL,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90007,,,,,33,6.04E+13,18070104,9,STATIONARY,,4/22/2008 22:46:00,1/26/2012 13:59:00,,RCRAINFO,LQG,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,36,,-118.2946645,34.02189227
5019019002,41ST PLACE MTU,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065284481,1.10E+11,513 WEST 41ST PLACE,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90037,,,,,33,6.04E+13,18070105,9,STATIONARY,,10/10/2015 10:32:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,37,,-118.2830262,34.00795592
6063003032,5251 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043353536,1.10E+11,304 CENTURY W & BROADWAY,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90003,,,,,35,6.04E+13,18070105,9,STATIONARY,,3/30/2011 16:08:00,,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,LUST-ARRA,,,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,38,,-118.2692529,33.94543613
6035032029,5511 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043843400,1.10E+11,1803 MANCHESTER AVE,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90047,,,,,35,6.04E+13,18070104,9,STATIONARY,,9/22/2011 11:19:00,10/6/2011 13:28:00,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,39,,-118.30939,33.96027
5104031014,58TH STREET DRUM SITE,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013806266,1.10E+11,1166-1188 E 58TH STREET,,LOS ANGELES,LOS ANGELES,6037,CA,,USA,90011-4861,,,,,31,6.04E+13,18070105,9,POTENTIALLY CONTAMINATED SITE,,3/26/2003 18:40:00,12/10/2015 22:48:00,,SEMS,SUPERFUND (NON-NPL),,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,40,,-118.2549,33.98989
5124027016,7-ELEVEN 24171,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066248215,1.10E+11,2512 S FIGUEROA ST,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90007,,,,,31,6.04E+13,18070104,9,STATIONARY,,10/14/2015 10:37:00,,,CA-ENVIROVIEW,STATE MASTER,445120,CONVENIENCE STORES.,5541,GASOLINE SERVICE STATIONS,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,41,,-118.27533,34.02834
5074015047,7-ELEVEN 26188,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110064953741,1.10E+11,1874 S WESTERN AVE,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90006,,,,,31,6.04E+13,18070104,9,STATIONARY,,10/10/2015 7:51:00,,,CA-ENVIROVIEW,STATE MASTER,445120,CONVENIENCE STORES.,5541,GASOLINE SERVICE STATIONS,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,42,,-118.3088036,34.04037097
5018032032,7-ELEVEN 35374,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065960286,1.10E+11,728 W VERNON AVE,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90037,,,,,33,6.04E+13,18070104,9,STATIONARY,,10/14/2015 9:12:00,,,CA-ENVIROVIEW,STATE MASTER,445120,CONVENIENCE STORES.,5541,GASOLINE SERVICE STATIONS,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,44,,-118.28672,34.00341
5005018030,7-ELEVEN 35716,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065604377,1.10E+11,1967 W SLAUSON AVE,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90047,,,,,33,6.04E+13,18070104,9,STATIONARY,,10/13/2015 12:19:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,45,,-118.31329,33.9894
6011008050,7-ELEVEN 36961,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065632578,1.10E+11,7120 S SAN PEDRO ST,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90003,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/13/2015 12:42:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,46,,-118.26928,33.97492
6073021043,7-ELEVEN 39194,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065931610,1.10E+11,11151 AVALON BLVD,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90061,,,,,37,6.04E+13,18070105,9,STATIONARY,,10/14/2015 9:00:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,47,,-118.26551,33.93345
5131006029,7-ELEVEN 39456,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065655222,1.10E+11,1916 S SAN PEDRO ST,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90011,,,,,31,6.04E+13,18070104,9,STATIONARY,,10/13/2015 12:59:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,48,,-118.2575238,34.02715298
5001024034,7-ELEVEN 39560,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065062354,1.10E+11,5401 S FIGUEROA ST,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90037,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/10/2015 8:49:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,49,,-118.28306,33.99313
5056011027,7-ELEVEN 39570,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066520553,1.10E+11,1317 W. WASHINGTON BLVD.,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90021,,,,,31,6.04E+13,18070104,9,STATIONARY,,10/14/2015 11:51:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,50,,-118.28461,34.04037
5056009023,76 PRODUCTS STATION #0898,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066814674,1.10E+11,1543 HOOVER ST S,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90006,,,,,31,6.04E+13,18070104,9,STATIONARY,,10/14/2015 13:42:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,51,,-118.28458,34.04409
6038001025,76 PRODUCTS STATION #0999,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065101151,1.10E+11,8600 FIGUEROA ST S,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90003,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/10/2015 9:09:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,52,,-118.28232,33.9599
