ain,Name,descriptio,cat1,cat2,cat3,addrln1,addrln2,city,state,zip,hours,phones,url,email,info1,info2,link,org_name,X,Y
5114018011,"Soledad Enrichment Action, Inc. - South Central School","The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",Education,Private and Charter Schools,,1037 E. 34th St.,,Los Angeles,CA,90011,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm.","FAX (323) 233-2489,  Service/Intake (323) 233-9119",www.seacharter.org/,,,,http://egis3.lacounty.gov/lms/?p=915,,-118.2573739,34.01288112
6047003008,"Soledad Enrichment Action, Inc. - Manchester School","The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",Health and Mental Health,Mental Health Counseling,,1100 W. Manchester Blvd.,,Los Angeles,CA,90044,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm.","FAX (323) 750-7337,  Service/Intake (323) 789-5760",www.seacharter.org/,,,,http://egis3.lacounty.gov/lms/?p=919,,-118.2940207,33.95984785
6047003008,"Soledad Enrichment Action, Inc. - Manchester School","The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",Education,Private and Charter Schools,,1100 W. Manchester Blvd.,,Los Angeles,CA,90044,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm.","FAX (323) 750-7337,  Service/Intake (323) 789-5760",www.seacharter.org/,,,,http://egis3.lacounty.gov/lms/?p=919,,-118.2940586,33.95984566
6040009027,Planned Parenthood Los Angeles - Dorothy Hecht Health Center,The agency provides family planning services for adolescents and adults of all ages in Los Angeles County.,Health and Mental Health,Health Clinics,,8520 S. Broadway,,Los Angeles,CA,90003,,Customer Service/Appointment Center Service/Intake (800) 576-5544,www.pplosangeles.org,,,,http://egis3.lacounty.gov/lms/?p=928,www.pplosangeles.org,-118.2780789,33.96097012
6040009027,Planned Parenthood Los Angeles - Dorothy Hecht Health Center,The agency provides family planning services for adolescents and adults of all ages in Los Angeles County.,Health and Mental Health,Health Education and Counseling,,8520 S. Broadway,,Los Angeles,CA,90003,,Customer Service/Appointment Center Service/Intake (800) 576-5544,www.pplosangeles.org,,,,http://egis3.lacounty.gov/lms/?p=928,www.pplosangeles.org,-118.2780789,33.96097012
6040009027,Planned Parenthood Los Angeles - Dorothy Hecht Health Center,The agency provides family planning services for adolescents and adults of all ages in Los Angeles County.,Health and Mental Health,Health Screening and Testing,,8520 S. Broadway,,Los Angeles,CA,90003,,Customer Service/Appointment Center Service/Intake (800) 576-5544,www.pplosangeles.org,,,,http://egis3.lacounty.gov/lms/?p=928,www.pplosangeles.org,-118.2780789,33.96097012
6084034011,Mental Health America Of Los Angeles - Project Return Peer Support Network - Pearl Ella Johnson Wellness Center,The agency provides mental health services for people who have been deinstitutionalized from mental health inpatient and are recovering from mental illness.,Health and Mental Health,Mental Health Programs,,11905 S Central Ave,,Los Angeles,CA,90059,,Service/Intake (323) 312-0145,www.mhala.org,,,,http://egis3.lacounty.gov/lms/?p=1029,www.mhala.org,-118.254602,33.92460683
5131011032,All Peoples Christian Center,"The center provides counseling services, emergency food, volunteer opportunities for people ages 55 and older and youth programs for people who live in the South Central area of Los Angeles.",Health and Mental Health,Mental Health Counseling,,822 E. 20th St.,,Los Angeles,CA,90011,"Monday through Thursday, 6:30am to 8:30pm; Friday, 9:00am to 5:30pm.","Senior Volunteer opportunities Service/Intake (213) 747-6357 Ext.23, After School Program Service/Intake (213) 747-6357 Ext.33, Emergency food and After School programs Service/Intake (213) 747-6357 Ext.41,  FAX (213) 747-0541",www.allpeoplescc.org,,,,http://egis3.lacounty.gov/lms/?p=1070,,-118.2568259,34.02606711
5131011032,All Peoples Christian Center,"The center provides counseling services, emergency food, volunteer opportunities for people ages 55 and older and youth programs for people who live in the South Central area of Los Angeles.",Education,Adult Education,,822 E. 20th St.,,Los Angeles,CA,90011,"Monday through Thursday, 6:30am to 8:30pm; Friday, 9:00am to 5:30pm.","Senior Volunteer opportunities Service/Intake (213) 747-6357 Ext.23, After School Program Service/Intake (213) 747-6357 Ext.33, Emergency food and After School programs Service/Intake (213) 747-6357 Ext.41,  FAX (213) 747-0541",www.allpeoplescc.org,,,,http://egis3.lacounty.gov/lms/?p=1070,,-118.2568259,34.02606711
5131011032,All Peoples Christian Center,"The center provides counseling services, emergency food, volunteer opportunities for people ages 55 and older and youth programs for people who live in the South Central area of Los Angeles.",Social Services,Child Care,,822 E. 20th St.,,Los Angeles,CA,90011,"Monday through Thursday, 6:30am to 8:30pm; Friday, 9:00am to 5:30pm.","Senior Volunteer opportunities Service/Intake (213) 747-6357 Ext.23, After School Program Service/Intake (213) 747-6357 Ext.33, Emergency food and After School programs Service/Intake (213) 747-6357 Ext.41,  FAX (213) 747-0541",www.allpeoplescc.org,,,,http://egis3.lacounty.gov/lms/?p=1070,,-118.2568259,34.02606711
5039002029,Usc Psychology Services Center,"The center provides counseling services for children, adolescents and adults who live in Los Angeles County.",Health and Mental Health,Mental Health Counseling,,1002 Childs Way,,Los Angeles,CA,90089,"Monday through Thursday, 9:00am to 8:00pm; Friday, 9:00am to 5:00pm.",Service/Intake and Administration (213) 740-1600,,,,,http://egis3.lacounty.gov/lms/?p=1088,,-118.2892199,34.02192612
6048012026,Kaiser Permanente - Watts Counseling And Learning Center,"The center provides counseling services, early childhood education and youth services for Watts residents of all ages, including people who are not Kaiser Health Plan members.",Health and Mental Health,Mental Health Counseling,,1465 E. 103rd St.,,Los Angeles,CA,90002,"SITE HOURS: Monday through Friday, 8:00am to 7:00pm; and Saturday, 9:00am to 5:00pm.",Service/Intake (323) 564-7911,www.kaiserpermanente.org/locations/calif,,,,http://egis3.lacounty.gov/lms/?p=1095,,-118.2487059,33.94343412
6048012026,Kaiser Permanente - Watts Counseling And Learning Center,"The center provides counseling services, early childhood education and youth services for Watts residents of all ages, including people who are not Kaiser Health Plan members.",Education,Guidance and Tutoring Programs,,1465 E. 103rd St.,,Los Angeles,CA,90002,"SITE HOURS: Monday through Friday, 8:00am to 7:00pm; and Saturday, 9:00am to 5:00pm.",Service/Intake (323) 564-7911,www.kaiserpermanente.org/locations/calif,,,,http://egis3.lacounty.gov/lms/?p=1095,,-118.2487059,33.94343412
6048012026,Kaiser Permanente - Watts Counseling And Learning Center,"The center provides counseling services, early childhood education and youth services for Watts residents of all ages, including people who are not Kaiser Health Plan members.",Education,Early Childhoold Education and Head Start,,1465 E. 103rd St.,,Los Angeles,CA,90002,"SITE HOURS: Monday through Friday, 8:00am to 7:00pm; and Saturday, 9:00am to 5:00pm.",Service/Intake (323) 564-7911,www.kaiserpermanente.org/locations/calif,,,,http://egis3.lacounty.gov/lms/?p=1095,,-118.2487059,33.94343412
5113029908,South Central Family Health Center - S. Mark Taper Foundation Health Clinic At The Accelerated School,"The center provides health education, health services, and volunteer opportunities for low-income people of all ages in South Los Angeles.",Health and Mental Health,Health Centers,,4000 S. Main St.,,Los Angeles,CA,90037,"Monday and Thursday, 1:00pm to 5:00pm; Tuesday, 8:00am to 5:00pm; Wednesday, 8:00am to 12:00pm.","FAX (323) 232-2673,  Service/Intake (323) 908-4242, Appointments Service/Intake (323) 908-4200",www.scfhc.org,,,,http://egis3.lacounty.gov/lms/?p=1109,www.scfhc.org,-118.2738441,34.01092961
5113029908,South Central Family Health Center - S. Mark Taper Foundation Health Clinic At The Accelerated School,"The center provides health education, health services, and volunteer opportunities for low-income people of all ages in South Los Angeles.",Health and Mental Health,Health Education and Counseling,,4000 S. Main St.,,Los Angeles,CA,90037,"Monday and Thursday, 1:00pm to 5:00pm; Tuesday, 8:00am to 5:00pm; Wednesday, 8:00am to 12:00pm.","FAX (323) 232-2673,  Service/Intake (323) 908-4242, Appointments Service/Intake (323) 908-4200",www.scfhc.org,,,,http://egis3.lacounty.gov/lms/?p=1109,www.scfhc.org,-118.2738449,34.01091699
5113029908,South Central Family Health Center - S. Mark Taper Foundation Health Clinic At The Accelerated School,"The center provides health education, health services, and volunteer opportunities for low-income people of all ages in South Los Angeles.",Health and Mental Health,Health Screening and Testing,,4000 S. Main St.,,Los Angeles,CA,90037,"Monday and Thursday, 1:00pm to 5:00pm; Tuesday, 8:00am to 5:00pm; Wednesday, 8:00am to 12:00pm.","FAX (323) 232-2673,  Service/Intake (323) 908-4242, Appointments Service/Intake (323) 908-4200",www.scfhc.org,,,,http://egis3.lacounty.gov/lms/?p=1109,www.scfhc.org,-118.2738466,34.01089735
5113029908,South Central Family Health Center - S. Mark Taper Foundation Health Clinic At The Accelerated School,"The center provides health education, health services, and volunteer opportunities for low-income people of all ages in South Los Angeles.",Health and Mental Health,Immunization,,4000 S. Main St.,,Los Angeles,CA,90037,"Monday and Thursday, 1:00pm to 5:00pm; Tuesday, 8:00am to 5:00pm; Wednesday, 8:00am to 12:00pm.","FAX (323) 232-2673,  Service/Intake (323) 908-4242, Appointments Service/Intake (323) 908-4200",www.scfhc.org,,,,http://egis3.lacounty.gov/lms/?p=1109,www.scfhc.org,-118.2738465,34.01088543
5113029908,South Central Family Health Center - S. Mark Taper Foundation Health Clinic At The Accelerated School,"The center provides health education, health services, and volunteer opportunities for low-income people of all ages in South Los Angeles.",Education,Special Curriculum Schools and Programs,,4000 S. Main St.,,Los Angeles,CA,90037,"Monday and Thursday, 1:00pm to 5:00pm; Tuesday, 8:00am to 5:00pm; Wednesday, 8:00am to 12:00pm.","FAX (323) 232-2673,  Service/Intake (323) 908-4242, Appointments Service/Intake (323) 908-4200",www.scfhc.org,,,,http://egis3.lacounty.gov/lms/?p=1109,www.scfhc.org,-118.2738473,34.01087491
5122044010,Optometric Center Of Los Angeles,The center provides health services related to optometry for people of all ages in Los Angeles.,Health and Mental Health,Health Clinics,,3916 S. Broadway,,Los Angeles,CA,90037,"Monday through Friday, 8:00am to 5:00pm; Saturday, 8:00am to 4:00pm.",Service/Intake (323) 234-9137,www.eyecareLA.com,,,,http://egis3.lacounty.gov/lms/?p=1126,www.eyecareLA.com,-118.2781119,34.01195412
5122044010,Optometric Center Of Los Angeles,The center provides health services related to optometry for people of all ages in Los Angeles.,Health and Mental Health,Health Screening and Testing,,3916 S. Broadway,,Los Angeles,CA,90037,"Monday through Friday, 8:00am to 5:00pm; Saturday, 8:00am to 4:00pm.",Service/Intake (323) 234-9137,www.eyecareLA.com,,,,http://egis3.lacounty.gov/lms/?p=1126,www.eyecareLA.com,-118.2781119,34.01195412
5111010018,Northeast Community Clinic - Clinica Para Las Mujeres,The clinic provides health and family planning services for people of all ages.,Health and Mental Health,Health Clinics,,231 W. Vernon Ave.,,Los Angeles,CA,90037,"Monday through Friday, 8:00am to 5:30pm.","FAX (323) 231-0134,  Service/Intake (323) 231-8814",www.neccmed.org,,,,http://egis3.lacounty.gov/lms/?p=1191,www.neccmed.org,-118.2767909,34.00395212
5111010018,Northeast Community Clinic - Clinica Para Las Mujeres,The clinic provides health and family planning services for people of all ages.,Health and Mental Health,Health Screening and Testing,,231 W. Vernon Ave.,,Los Angeles,CA,90037,"Monday through Friday, 8:00am to 5:30pm.","FAX (323) 231-0134,  Service/Intake (323) 231-8814",www.neccmed.org,,,,http://egis3.lacounty.gov/lms/?p=1191,www.neccmed.org,-118.2767909,34.00395212
5041034900,Northeast Community Clinic - Foshay Health Clinic,The clinic provides health and family planning services for people of all ages.,Health and Mental Health,Health Clinics,,3751 S. Harvard Blvd.,,Los Angeles,CA,90018,,"Service/Intake (323) 373-9400,  FAX (323) 373-9600",www.neccmed.org,,,,http://egis3.lacounty.gov/lms/?p=1192,www.neccmed.org,-118.3063122,34.01909162
5041034900,Northeast Community Clinic - Foshay Health Clinic,The clinic provides health and family planning services for people of all ages.,Health and Mental Health,Health Screening and Testing,,3751 S. Harvard Blvd.,,Los Angeles,CA,90018,,"Service/Intake (323) 373-9400,  FAX (323) 373-9600",www.neccmed.org,,,,http://egis3.lacounty.gov/lms/?p=1192,www.neccmed.org,-118.3063112,34.01904886
5039003027,Usc School Of Dentistry Clinic,The school provides dental services for people of all ages who live in Los Angeles County.,Health and Mental Health,Dental Care,,925 W. 34th St.,,Los Angeles,CA,90089,"Clinic hours are Monday, Wednesday and Thursday, 8:15am to 9:30am and 1:00pm to 2:30pm; Tuesday, 1:00pm to 2:30pm.  Emergency services are available Monday, Wednesday, Thursday and Friday, 8:30am to 10:00am and 1:00pm to 2:30pm; and Tuesday, 1:00pm to 2:","Service/Intake (213) 740-2800, Orthodontics Service/Intake (213) 740-0406, General Information Service/Intake (888) 872-3368",www.usc.edu/hsc/dental,,,,http://egis3.lacounty.gov/lms/?p=1897,www.usc.edu/hsc/dental,-118.2864569,34.02389412
6038013900,City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Algin Sutton Pool,The Los Angeles City Department of Recreation and Parks provides recreational programs for people of all ages who live in greater Los Angeles area.,Arts and Recreation,Pools,,8800 S. Hoover St.,,Los Angeles,CA,90044,SITE HOURS: Hours vary.,Service/Intake (323) 789-2826,www.laparks.org,,,,http://egis3.lacounty.gov/lms/?p=1936,www.laparks.org,-118.2868119,33.95731712
6041023901,City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Green Meadows Pool,The Los Angeles City Department of Recreation and Parks provides recreational programs for people of all ages who live in greater Los Angeles area.,Arts and Recreation,Pools,,431 E. 89th St.,,Los Angeles,CA,90003,SITE HOURS: Hours vary.,Service/Intake (323) 789-2726,www.laparks.org,,,,http://egis3.lacounty.gov/lms/?p=1938,www.laparks.org,-118.2671769,33.95569312
5119004900,City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Central Pool,The Los Angeles City Department of Recreation and Parks provides recreational programs for people of all ages who live in greater Los Angeles area.,Arts and Recreation,Pools,,1357 E. 22nd St.,,Los Angeles,CA,90011,SITE HOURS: Hours vary.,Service/Intake (213) 765-0565,www.laparks.org,,,,http://egis3.lacounty.gov/lms/?p=1944,www.laparks.org,-118.2515779,34.02089512
6070004900,City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - 109Th St. Pool,The Los Angeles City Department of Recreation and Parks provides recreational programs for people of all ages who live in greater Los Angeles area.,Arts and Recreation,Pools,,1500 E. 109th St.,,Los Angeles,CA,90059,SITE HOURS: Hours vary.,Service/Intake (323) 789-2731,www.laparks.org,,,,http://egis3.lacounty.gov/lms/?p=1945,www.laparks.org,-118.2479839,33.93664612
5117013900,City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Ross Snyder Pool,The Los Angeles City Department of Recreation and Parks provides recreational programs for people of all ages who live in greater Los Angeles area.,Arts and Recreation,Pools,,1501 E. 41st St.,,Los Angeles,CA,90011,SITE HOURS: Hours vary.,Service/Intake (213) 847-3430,www.laparks.org,,,,http://egis3.lacounty.gov/lms/?p=1946,www.laparks.org,-118.2473389,34.00872212
5037027936,City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - J.C. Argue Swim Stadium,The Los Angeles City Department of Recreation and Parks provides recreational programs for people of all ages who live in greater Los Angeles area.,Arts and Recreation,Pools,,3980 Bill Robertson Ave,,Los Angeles,CA,90037,SITE HOURS: Hours vary.,Service/Intake (213) 763-0125,www.laparks.org,,,,http://egis3.lacounty.gov/lms/?p=1957,www.laparks.org,-118.2899509,34.01194313
6022026900,City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Fremont Indoor Pool,The Los Angeles City Department of Recreation and Parks provides recreational programs for people of all ages who live in greater Los Angeles area.,Arts and Recreation,Pools,,7630 Towne Ave.,,Los Angeles,CA,90003,SITE HOURS: Hours vary.,Service/Intake (213) 847-3401,www.laparks.org,,,,http://egis3.lacounty.gov/lms/?p=1973,www.laparks.org,-118.2671359,33.97082812
5109022900,City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - South Park Pool,The Los Angeles City Department of Recreation and Parks provides recreational programs for people of all ages who live in greater Los Angeles area.,Arts and Recreation,Pools,,345 E. 51st St.,,Los Angeles,CA,90011,SITE HOURS: Hours vary.,Service/Intake (323) 846-5366,www.laparks.org,,,,http://egis3.lacounty.gov/lms/?p=1974,www.laparks.org,-118.2685179,33.99664912
6032013016,Children's Collective Inc - Rita Walters Learning Complex,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",Education,Guidance and Tutoring Programs,,915 W. Manchester Ave.,,Los Angeles,CA,90044,Monday through Friday hours vary.,"FAX (323) 789-4719,  Service/Intake (323) 789-4717",www.childrenscollective.org,,,,http://egis3.lacounty.gov/lms/?p=2004,www.childrenscollective.org,-118.2897359,33.96019512
6032013016,Children's Collective Inc - Rita Walters Learning Complex,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",Education,Private and Charter Schools,,915 W. Manchester Ave.,,Los Angeles,CA,90044,Monday through Friday hours vary.,"FAX (323) 789-4719,  Service/Intake (323) 789-4717",www.childrenscollective.org,,,,http://egis3.lacounty.gov/lms/?p=2004,www.childrenscollective.org,-118.2897359,33.96019512
6063028023,His Sheltering Arms Transitional Housing,"This agency provides HIV/AIDS service, residential treatment for substance abuse, shelter and welfare to work support services for women in Los Angeles County, including parolees and pregnant women.",Health and Mental Health,Substance Abuse Programs,,10615 S. Avalon Blvd.,,Los Angeles,CA,90003,"Monday through Sunday, 24 hours per day.","Service/Intake (323) 755-6646,  Service/Intake and Administration (323) 754-6900,  Service/Intake (323) 755-9987",,,,,http://egis3.lacounty.gov/lms/?p=2021,NULL,-118.2653129,33.94000612
5040028027,Usc School For Early Childhood Education - Head Start/State Preschool University Gardens Head Start Center,"The agency provides early childhood education services for families in Los Angeles zip codes 90006, 90007, 90015, 90018, 90037, and parts of 90008, 90011 and 90062.",Education,Early Childhoold Education and Head Start,,1250 W. Jefferson Blvd.,,Los Angeles,CA,90007,"Monday through Friday, 7:00am to 3:00pm.",Service/Intake (323) 733-1650,www.usc.edu/ext-relations,,,,http://egis3.lacounty.gov/lms/?p=2044,www.usc.edu/ext-relations,-118.2931379,34.02527112
5122025012,Usc School For Early Childhood Education - Head Start/State Preschool,"The agency provides early childhood education services for families in Los Angeles zip codes 90006, 90007, 90015, 90018, 90037, and parts of 90008, 90011 and 90062.",Education,Early Childhoold Education and Head Start,,3716 S. Hope St.,,Los Angeles,CA,90007,"Monday through Friday, 7:00am to 5:00pm.",Service/Intake and Administration (213) 821-2794,www.usc.edu/ext-relations,,,,http://egis3.lacounty.gov/lms/?p=2051,www.usc.edu/ext-relations,-118.2794789,34.01658512
5121013903,Children's Collective Inc - King - San Pedro,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",Education,Early Childhoold Education and Head Start,,3817 S. San Pedro St.,,Los Angeles,CA,90011,"Monday through Friday, 7:00am to 5:30pm.","FAX (323) 231-6242,  Service/Intake (323) 231-1367",www.childrenscollective.org,,,,http://egis3.lacounty.gov/lms/?p=2056,www.childrenscollective.org,-118.2679669,34.01143612
5121013903,Children's Collective Inc - King - San Pedro,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",Social Services,Child Care,,3817 S. San Pedro St.,,Los Angeles,CA,90011,"Monday through Friday, 7:00am to 5:30pm.","FAX (323) 231-6242,  Service/Intake (323) 231-1367",www.childrenscollective.org,,,,http://egis3.lacounty.gov/lms/?p=2056,www.childrenscollective.org,-118.2679669,34.01143612
5123017008,Usc School For Early Childhood Education - Head Start/State Preschool University Park Head Start Center,"The agency provides early childhood education services for families in Los Angeles zip codes 90006, 90007, 90015, 90018, 90037, and parts of 90008, 90011 and 90062.",Education,Early Childhoold Education and Head Start,,741 W. 27th St.,,Los Angeles,CA,90007,"Monday through Friday, 7:00am to 9:30pm.","Service/Intake (213) 743-2466,  FAX (213) 743-1684",www.usc.edu/ext-relations,,,,http://egis3.lacounty.gov/lms/?p=2067,www.usc.edu/ext-relations,-118.2800149,34.02871412
6032013010,Children's Collective Inc - Rita Walters Child Care Center,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",Education,Early Childhoold Education and Head Start,,932 W. 85th St.,,Los Angeles,CA,90044,"Monday through Friday, 7:30am to 6:00pm.","Service/Intake (323) 789-1873,  FAX (323) 789-4864",www.childrenscollective.org,,,,http://egis3.lacounty.gov/lms/?p=2080,www.childrenscollective.org,-118.2902349,33.96111512
6032013010,Children's Collective Inc - Rita Walters Child Care Center,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",Social Services,Child Care,,932 W. 85th St.,,Los Angeles,CA,90044,"Monday through Friday, 7:30am to 6:00pm.","Service/Intake (323) 789-1873,  FAX (323) 789-4864",www.childrenscollective.org,,,,http://egis3.lacounty.gov/lms/?p=2080,www.childrenscollective.org,-118.2902349,33.96111512
5001014001,Children's Collective Inc - Hoover Street Childcare Center,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",Education,Early Childhoold Education and Head Start,,5701 S. Hoover St.,,Los Angeles,CA,90037,"Monday through Friday, 8:00am to 12:00 noon.","Service/Intake (213) 924-5853,  FAX (213) 471-2326",www.childrenscollective.org,,,,http://egis3.lacounty.gov/lms/?p=2088,www.childrenscollective.org,-118.2872419,33.99019812
5001014001,Children's Collective Inc - Hoover Street Childcare Center,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",Social Services,Child Care,,5701 S. Hoover St.,,Los Angeles,CA,90037,"Monday through Friday, 8:00am to 12:00 noon.","Service/Intake (213) 924-5853,  FAX (213) 471-2326",www.childrenscollective.org,,,,http://egis3.lacounty.gov/lms/?p=2088,www.childrenscollective.org,-118.2872419,33.99019812
5053026912,Loren Miller Recreation Center,"The department provides recreational programs through operation and maintenance of Los Angeles City parks, playgrounds, swimming pools, golf courses and recreation centers.",Arts and Recreation,Recreation Centers,,2717 Halldale Ave.,,Los Angeles,CA,90018,"Monday through Friday, 8:00am to 8:00pm; Saturday and Sunday, 9:00am to 9:00pm. Closed holidays.",Rec. Center and Child Care Program Service/Intake (323) 734-1302,www.laparks.org/dos.htm,,,,http://egis3.lacounty.gov/lms/?p=2124,LA City Department Recreation and Parks,-118.3029759,34.03026612
5053026912,Loren Miller Recreation Center,"The department provides recreational programs through operation and maintenance of Los Angeles City parks, playgrounds, swimming pools, golf courses and recreation centers.",Social Services,Child Care,,2717 Halldale Ave.,,Los Angeles,CA,90018,"Monday through Friday, 8:00am to 8:00pm; Saturday and Sunday, 9:00am to 9:00pm. Closed holidays.",Rec. Center and Child Care Program Service/Intake (323) 734-1302,www.laparks.org/dos.htm,,,,http://egis3.lacounty.gov/lms/?p=2124,LA City Department Recreation and Parks,-118.3029759,34.03026612
6071022902,Kedren Community Health Center - Head Start / State Preschool,The agency provides early childhood education as a Head Start Grantee/Delegate agency for people who meet income and geographic requirements.,Education,Special Curriculum Schools and Programs,,710 E. 111th Pl.,,Los Angeles,CA,90059,"SITE HOURS: Monday through Friday, 8:30am to 7:30pm.","FAX (323) 905-1145,  Service/Intake (323) 299-9742,  Service/Intake (323) 777-1411",,,,,http://egis3.lacounty.gov/lms/?p=2150,NULL,-118.2626819,33.93437813
6071022902,Kedren Community Health Center - Head Start / State Preschool,The agency provides early childhood education as a Head Start Grantee/Delegate agency for people who meet income and geographic requirements.,Education,Early Childhoold Education and Head Start,,710 E. 111th Pl.,,Los Angeles,CA,90059,"SITE HOURS: Monday through Friday, 8:30am to 7:30pm.","FAX (323) 905-1145,  Service/Intake (323) 299-9742,  Service/Intake (323) 777-1411",,,,,http://egis3.lacounty.gov/lms/?p=2150,NULL,-118.2626819,33.93437813
